first name,last name,image_href,gender,age,birthdate_x,birthdate_y,Zodiac Name,occupation,hometown,entered,left,status,spouses,children
Jack,Barlow,https://static.wikia.nocookie.net/loveisland/images/b/b2/S7_Jack_Barlow.jpg/revision/latest?cb=20210727223238,Male,28,"June 8, 1995",08-06-1995,Gemini,Racing Driver and Coach,"East Sussex, England",Day 29,Day 32,Dumped,,
Kaila,Troy,https://static.wikia.nocookie.net/loveisland/images/7/7e/S7_Kaila_Troy.jpg/revision/latest?cb=20210727223315,Female,"January 4, 1993",31,16-02-1993,Aquarius,International DJ,"Dublin, Ireland",Day 29,Day 32,Dumped,,
Lillie,Haynes,https://static.wikia.nocookie.net/loveisland/images/0/0a/S7_Lillie_Haynes.jpg/revision/latest?cb=20210727223410,Female,25,"November 10, 1998",10-11-1998,Scorpio,Trainee Accountant,"South Shields, England",Day 29,Day 32,Dumped,,
Medhy,Malanda,https://static.wikia.nocookie.net/loveisland/images/f/f1/S7_Medhy_Malanda.jpg/revision/latest?cb=20210727223651,Male,27,"March 25, 1997",25-03-1997,Aries,American football player and Model,"Luton, England",Day 29,Day 32,Dumped,,
Salma,Naran,https://static.wikia.nocookie.net/loveisland/images/4/4f/S7_Salma_Naran.jpg/revision/latest?cb=20210727223717,Female,22,"May 30, 2001",30-05-2001,Gemini,Model and Influencer,"Dublin, Ireland",Day 29,Day 32,Dumped,,
Aaron,Francis,https://static.wikia.nocookie.net/loveisland/images/1/15/S7_Aaron_Francis.jpg/revision/latest?cb=20210705014208,Male,27,"September 29, 1996",29-09-1996,Libra,Luxury events host,"London, England",Day 1,Day 28,Dumped,,
Lucinda,Strafford,https://static.wikia.nocookie.net/loveisland/images/a/a9/Aus_S5_Lucinda_Strafford.jpg/revision/latest?cb=20240304231849,Female,24,"November 4, 1999",04-11-1999,Scorpio,Online Fashion Boutique Owner,"Brighton, England",Day 9,Day 28,Dumped,,
Georgia,Townend,https://static.wikia.nocookie.net/loveisland/images/6/62/S7_Georgia_Townend.jpg/revision/latest?cb=20210721221806,Female,31,"January 1, 1993",01-01-1993,Capricorn,Marketing executive,"Essex, England",Day 23,Day 25,Dumped,,
Andrea-Jane,Bunker,https://static.wikia.nocookie.net/loveisland/images/5/51/S7_Andrea-Jane_Bunker.jpg/revision/latest?cb=20210716005508,Female,31,"December 9, 1992",09-12-1992,Sagittarius,Hair extensions technician,"Hemel Hempstead, England",Day 17,Day 23,Dumped,,
Danny,Bibby,https://static.wikia.nocookie.net/loveisland/images/7/70/S7_Danny_Bibby.jpg/revision/latest?cb=20210716005938,Male,25,"November 28, 1995",28-11-1995,Sagittarius,Plumber,"Manchester, England",Day 18,Day 23,Dumped,,
Sharon,Gaffka,https://static.wikia.nocookie.net/loveisland/images/7/7e/S7_Sharon_Gaffka.jpg/revision/latest?cb=20210705011922,Female,28,"December 1, 1995",01-12-1995,Sagittarius,Civil Servant – Operations Lead for Department of Transport,"Oxford, England",Day 1,Day 19,Dumped,,
Brad,McClelland,https://static.wikia.nocookie.net/loveisland/images/9/9d/S7_Brad_McClelland.jpg/revision/latest?cb=20210705014156,Male,28,"June 10, 1995",10-06-1995,Gemini,Labourer,"Northumberland, England",Day 1,Day 16,Dumped,,
Rachel,Finni,https://static.wikia.nocookie.net/loveisland/images/0/05/S7_Rachel_Finni.jpg/revision/latest?cb=20210705010538,Female,32,"April 25, 1992",25-04-1992,Taurus,Luxury travel specialist,"Cockfosters, England",Day 5,Day 14,Dumped,,
Oliver,Wallis,https://static.wikia.nocookie.net/loveisland/images/d/d2/S7_Chuggs_Wallis.jpg/revision/latest?cb=20210705015847,Male,26,"April 3, 1998",03-04-1998,Aries,Business owner,"Surrey, England",Day 4,Day 6,Dumped,,
Shannon,Singh,https://static.wikia.nocookie.net/loveisland/images/d/da/S7_Shannon_Singh.jpg/revision/latest?cb=20210705012638,Female,25,"July 7, 1998",07-07-1998,Cancer,Model,"Fife, Scotland",Day 1,Day 2,Dumped,,
Davide,Sanclimenti,https://static.wikia.nocookie.net/loveisland/images/1/14/S8_Davide_Sanclimenti.jpg/revision/latest?cb=20220622195428,Male,29,"January 1, 1995",01-01-1995,Capricorn,Business Owner,"Manchester, England",Day 1,Day 58,Winner,,
Ekin-Su,Cülcüloğlu,https://static.wikia.nocookie.net/loveisland/images/6/61/S8_Ekin-Su_C%C3%BClc%C3%BClo%C4%9Flu.jpg/revision/latest?cb=20220622193123,Female,29,"August 21, 1994",21-08-1994,Leo,Actress,"Essex, England",Day 3,Day 58,Winner,,
Gemma,Owen,https://static.wikia.nocookie.net/loveisland/images/4/47/S8_Gemma_Owen.jpg/revision/latest?cb=20220622193220,Female,20,"May 1, 2003",01-05-2003,Taurus,International Dressage Rider and Business Owner,"Chester, England",Day 1,Day 58,Runner-Up,,
Luca,Bish,https://static.wikia.nocookie.net/loveisland/images/3/37/S8_Luca_Bish.jpg/revision/latest?cb=20220622200002,Male,24,"May 14, 1999",14-05-1999,Taurus,Fishmonger,"Brighton, England",Day 1,Day 58,Runner-Up,,
Dami,Hope,https://static.wikia.nocookie.net/loveisland/images/1/11/S8_Dami_Hope.jpg/revision/latest?cb=20220622213157,Male,28,"March 27, 1996",27-03-1996,Aries,Senior Microbiologist,"Dublin, Ireland",Day 1,Day 58,3rd Place,,
Indiyah,Polack,https://static.wikia.nocookie.net/loveisland/images/3/34/S8_Indiyah_Polack.jpg/revision/latest?cb=20220622195947,Female,25,"December 11, 1998",11-12-1998,Sagittarius,Waitress and Model,"London, England",Day 1,Day 58,3rd Place,,
Andrew Le,Page,https://static.wikia.nocookie.net/loveisland/images/d/d9/S8_Andrew_Le_Page.jpg/revision/latest?cb=20220622195833,Male,29,"March 8, 1995",08-03-1995,Pisces,Real Estate Agent,"Guernsey, British Isles",Day 1,Day 58,4th Place,,
Tasha,Ghouri,https://static.wikia.nocookie.net/loveisland/images/8/8d/S8_Tasha_Ghouri.jpg/revision/latest?cb=20220622200146,Female,25,"August 11, 1998",11-08-1998,Leo,Model and Dancer,"Thirsk, England",Day 1,Day 58,4th Place,,
Adam,Collard,https://static.wikia.nocookie.net/loveisland/images/7/75/S8_Adam_Collard.jpg/revision/latest?cb=20220710222545,Male,28,"October 27, 1995",27-10-1995,Scorpio,Personal Trainer,"Newcastle, England",Day 1,Day 32,Dumped,,
Adam,Collard,https://static.wikia.nocookie.net/loveisland/images/7/75/S8_Adam_Collard.jpg/revision/latest?cb=20220710222545,Male,28,"October 27, 1995",27-10-1995,Scorpio,Personal Trainer,"Newcastle, England",Day 1,Day 32,Dumped,,
Paige,Thorne,https://static.wikia.nocookie.net/loveisland/images/7/75/S8_Paige_Thorne.jpg/revision/latest?cb=20220622213144,Female,26,"September 14, 1997",14-09-1997,Virgo,Paramedia,"Swansea, Wales",Day 1,Day 56,Participating,,
Danica,Taylor,https://static.wikia.nocookie.net/loveisland/images/5/54/S8_Danica_Taylor.jpg/revision/latest?cb=20220622030208,Female,23,"April 13, 2001",13-04-2001,Aries,Dancer,"Leicester, England",Day 12,Day 51,Dumped,,
Jamie,Allen,https://static.wikia.nocookie.net/loveisland/images/2/21/S8_Jamie_Allen.jpg/revision/latest?cb=20220720151017,Male,28,"May 25, 1995",25-05-1995,Gemini,Football Player,"Preston, England",Day 45,Day 51,Dumped,,
Deji,Adeniyi,https://static.wikia.nocookie.net/loveisland/images/9/98/S8_Deji_Adeniyi.jpg/revision/latest?cb=20220701221204,Male,27,"November 14, 1996",14-11-1996,Scorpio,Accounts Manager,"Bedford, England",Day 26,Day 49,Dumped,,
Lacey,Edwards,https://static.wikia.nocookie.net/loveisland/images/8/83/S8_Lacey_Edwards.jpg/revision/latest?cb=20220720151038,Female,27,"November 9, 1996",09-11-1996,Scorpio,,"Swindon, England",Day 45,Day 49,Dumped,,
Nathalia,Campos,https://static.wikia.nocookie.net/loveisland/images/0/07/S8_Nathalia_Campos.jpg/revision/latest?cb=20220720151058,Female,24,"October 14, 1999",14-10-1999,Libra,Operations Manager,"London, England",Day 44,Day 49,Dumped,,
Reece,Ford,https://static.wikia.nocookie.net/loveisland/images/8/82/S8_Reece_Ford.jpg/revision/latest?cb=20220720151112,Male,23,"November 28, 1998",28-11-1998,Sagittarius,Model,"Coventry, England",Day 45,Day 49,Dumped,,
Billy,Brown,https://static.wikia.nocookie.net/loveisland/images/6/66/S8_Billy_Brown.jpg/revision/latest?cb=20220701221139,Male,24,"May 9, 1999",09-05-1999,Taurus,Roofing Company Director,"Surrey, England",Day 26,Day 44,Dumped,,
Summer,Botwe,https://static.wikia.nocookie.net/loveisland/images/9/96/S8_Summer_Botwe.jpg/revision/latest?cb=20220703141733,Female,24,"March 15, 2000",15-03-2000,Pisces,Business Owner,"Hertfordshire, England",Day 27,Day 44,Dumped,,
Coco,Lodge,https://static.wikia.nocookie.net/loveisland/images/3/32/S8_Coco_Lodge.jpg/revision/latest?cb=20220703141623,Female,29,"January 7, 1995",07-01-1995,Capricorn,Graphic Designer,"Guildford, England",Day 27,Day 39,Dumped,,
Josh Le,Grove,https://static.wikia.nocookie.net/loveisland/images/d/dd/S8_Josh_Le_Grove.jpg/revision/latest?cb=20220701221346,Male,24,"October 2, 1999",02-10-1999,Libra,Model,"Essex, England",Day 26,Day 39,Dumped,,
Jacques,O'Neill,https://static.wikia.nocookie.net/loveisland/images/7/7c/S8_Jacques_O%27Neill.jpg/revision/latest?cb=20220622213127,Male,24,"May 8, 1999",08-05-1999,Taurus,Professional Rugby League Player,"Cumbria, England",Day 7,Day 37,Walked,,
Chyna,Mills,https://static.wikia.nocookie.net/loveisland/images/7/71/S8_Chyna_Mills.jpg/revision/latest?cb=20220703141607,Female,25,"November 24, 1998",24-11-1998,Sagittarius,Youth Support Worker,"Southampton, England",Day 27,Day 35,Dumped,Neil Jones (fiancé),"Havana (daughter, b. 2023)"
Jay,Younger,https://static.wikia.nocookie.net/loveisland/images/9/91/S8_Jay_Younger.jpg/revision/latest?cb=20220614142451,Male,30,"November 8, 1993",08-11-1993,Scorpio,Investment Analyst,"Edinburgh, Scotland",Day 9,Day 35,Dumped,,
Cheyanne,Kerr,https://static.wikia.nocookie.net/loveisland/images/2/25/S8_Cheyanne_Kerr.jpg/revision/latest?cb=20220703141547,Female,25,"September 6, 1998",06-09-1998,Virgo,Cabin Crew Employee,"Barnsley, England",Day 27,Day 31,Dumped,,
George,Tasker,https://static.wikia.nocookie.net/loveisland/images/e/e9/S8_George_Tasker.jpg/revision/latest?cb=20220701221228,Male,25,"July 7, 1998",07-07-1998,Cancer,Labourer,"Cotswolds, England",Day 26,Day 31,Dumped,,
Jack,Keating,https://static.wikia.nocookie.net/loveisland/images/6/69/S8_Jack_Keating.jpg/revision/latest?cb=20220701221316,Male,25,"March 15, 1999",15-03-1999,Pisces,Social Media Marketing,"Dublin, Ireland",Day 26,Day 31,Dumped,,"Maya (daughter, b. 2023)"
Jazmine,Nichol,https://static.wikia.nocookie.net/loveisland/images/8/80/S8_Jazmine_Nichol.jpg/revision/latest?cb=20220703141652,Female,23,"October 28, 2000",28-10-2000,Scorpio,Nightclub Manager,"Newcastle, England",Day 27,Day 31,Dumped,,
Mollie,Salmon,https://static.wikia.nocookie.net/loveisland/images/9/97/S8_Mollie_Salmon.jpg/revision/latest?cb=20220703141708,Female,,,,Capricorn,MakeUp Artist,"Southampton, England",Day 27,Day 31,Dumped,,
Samuel,Agbiji,https://static.wikia.nocookie.net/loveisland/images/5/52/S8_Samuel_Agbiji.jpg/revision/latest?cb=20220701221421,Male,23,"May 25, 2000",25-05-2000,Gemini,Model,"Manchester, England",Day 26,Day 31,Dumped,,
Antigoni,Buxton,https://static.wikia.nocookie.net/loveisland/images/2/28/S8_Antigoni_Buxton.jpg/revision/latest?cb=20220622213042,Female,28,"March 9, 1996",09-03-1996,Pisces,Singer,"London, England",Day 17,Day 25,Dumped,,
Charlie,Radnedge,https://static.wikia.nocookie.net/loveisland/images/3/39/S8_Charlie_Radnedge.jpg/revision/latest?cb=20220622213242,Male,30,"February 4, 1994",04-02-1994,Aquarius,Real Estate Agent,"London, England",Day 17,Day 25,Dumped,,
Amber,Beckford,https://static.wikia.nocookie.net/loveisland/images/5/5f/S8_Amber_Beckford.jpg/revision/latest?cb=20220622194900,Female,25,"May 29, 1998",29-05-1998,Gemini,Nanny,"London, England",Day 1,Day 15,Dumped,,
Ikenna,Ekwonna,https://static.wikia.nocookie.net/loveisland/images/6/6c/S8_Ikenna_Ekwonna.jpg/revision/latest?cb=20220622200224,Male,25,"February 22, 1999",22-02-1999,Pisces,Pharmaceutical Sales,"Nottingham, England",Day 1,Day 15,Dumped,,
Remi,Lambert,https://static.wikia.nocookie.net/loveisland/images/4/42/S8_Remi_Lambert.jpg/revision/latest?cb=20220614142508,Male,24,"March 2, 2000",02-03-2000,Pisces,Model,"Manchester, England",Day 9,Day 12,Dumped,,
Afia,Tonkmor,https://static.wikia.nocookie.net/loveisland/images/d/df/S8_Afia_Tonkmor.jpg/revision/latest?cb=20220622194214,Female,27,"August 8, 1996",08-08-1996,Leo,Lounge Host,"London, England",Day 3,Day 8,Dumped,,
Liam,Llewellyn,https://static.wikia.nocookie.net/loveisland/images/6/69/S8_Liam_Llewellyn.jpg/revision/latest?cb=20220622195116,Male,24,"July 25, 1999",25-07-1999,Leo,Student,"Newport, South Wales",Day 1,Day 5,Walked,,
Kai,Fagan,https://static.wikia.nocookie.net/loveisland/images/1/15/S9_Kai_Fagan.jpg/revision/latest?cb=20230109224431,Male,25,"June 21, 1998",21-06-1998,Cancer,Science and PE teacher,"Manchester, England",Day 1,Day 58,Winner,,
Sanam,Harrinanan,https://static.wikia.nocookie.net/loveisland/images/0/0f/S9_Sanam_Harrinanan.jpg/revision/latest?cb=20230212001405,Female,25,"May 17, 1998",17-05-1998,Taurus,Social Worker,"Bedford, England",Day 29,Day 58,Winner,,
Lana,Jenkins,https://static.wikia.nocookie.net/loveisland/images/f/f8/S9_Lana_Jenkins.jpg/revision/latest?cb=20230109224433,Female,26,"November 9, 1997",09-11-1997,Scorpio,Makeup artist,"Luton, England",Day 1,Day 58,Runner-Up,,
Ron,Hall,https://static.wikia.nocookie.net/loveisland/images/c/ca/S9_Ron_Hall.jpg/revision/latest?cb=20230614152853,Male,26,"August 20, 1997",20-08-1997,Leo,Financial advisor,"Essex, England",Day 1,Day 58,Runner-Up,,
Samie,Elishi,https://static.wikia.nocookie.net/loveisland/images/d/db/S9_Samie_Elishi.jpg/revision/latest?cb=20230130150329,Female,24,"February 15, 2000",15-02-2000,Aquarius,Senior estate agent coordinator,"London, England",Day 14,Day 58,3rd Place,,
Tom,Clare,https://static.wikia.nocookie.net/loveisland/images/3/3b/All_Stars_Tom_Clare.jpg/revision/latest?cb=20240126181311,Male,24,"September 2, 1999",02-09-1999,Virgo,Football Player,"Barnsley, England",Day 1,Day 58,3rd Place,,
Shaq,Muhammad,https://static.wikia.nocookie.net/loveisland/images/5/58/S9_Shaq_Muhammad.jpg/revision/latest?cb=20230109224440,Male,26,"March 31, 1998",31-03-1998,Aries,Airport security officer,"London, England",Day 1,Day 58,4th Place,,
Tanya,Manhenga,https://static.wikia.nocookie.net/loveisland/images/7/70/S9_Tanya_Manhenga.jpg/revision/latest?cb=20230109224443,Female,24,"January 31, 2000",31-01-2000,Aquarius,Student and influencer,"Liverpool, England",Day 1,Day 58,4th Place,,
Jessie,Wynter,https://static.wikia.nocookie.net/loveisland/images/9/90/S9_Jessie_Wynter.jpg/revision/latest?cb=20230122164554,Female,27,"September 28, 1996",28-09-1996,Libra,Personal TrainerInfluencerWaitress (former),"Tasmania, Australia",Day 1,Day 34,Dumped,,
Will,Young,https://static.wikia.nocookie.net/loveisland/images/a/a6/S9_Will_Young.jpg/revision/latest?cb=20230109224449,Male,24,"September 3, 1999",03-09-1999,Virgo,Farmer,"Buckinghamshire, England",Day 1,Day 56,Dumped,,
Casey,O'Gorman,https://static.wikia.nocookie.net/loveisland/images/3/38/All_Stars_Casey_O%27Gorman.jpg/revision/latest?cb=20240131215107,Male,27,"October 31, 1996",31-10-1996,Scorpio,Recruitment Consultant,"Tring, England",Day 17,Day 51,Dumped,,
Rosie,Seabrook,https://static.wikia.nocookie.net/loveisland/images/4/43/S9_Rosie_Seabrook.jpg/revision/latest?cb=20230301231158,Female,25,"July 23, 1998",23-07-1998,Leo,Industry Placement Advisor,"Buckinghamshire, England",Day 39,Day 51,Dumped,,
Claudia,Fogarty,https://static.wikia.nocookie.net/loveisland/images/8/8a/S9_Claudia_Fogarty.jpg/revision/latest?cb=20230209154352,Female,29,"August 9, 1994",09-08-1994,Leo,Fashion boutique owner,"Blackburn, England",Day 23,Day 45,Dumped,,
Keanan,Brand,https://static.wikia.nocookie.net/loveisland/images/8/89/S9_Keanan_Brand.jpg/revision/latest?cb=20230223230034,Male,25,"January 8, 1999",08-01-1999,Capricorn,Pro rugby player,"Wigan, England",Day 39,Day 45,Dumped,,
Maxwell,Samuda,https://static.wikia.nocookie.net/loveisland/images/0/0f/S9_Maxwell_Samuda.jpg/revision/latest?cb=20230212002212,Male,25,"April 16, 1999",16-04-1999,Aries,Finance Student and Restaurant Host,"London, England",Day 28,Day 45,Dumped,,
Olivia,Hawkins,https://static.wikia.nocookie.net/loveisland/images/0/0b/S9_Olivia_Hawkins.jpg/revision/latest?cb=20230109224436,Female,28,"June 20, 1995",20-06-1995,Gemini,Ring girl and actress,"Brighton, England",Day 1,Day 45,Dumped,,
Martin,Akinola,https://static.wikia.nocookie.net/loveisland/images/d/da/S9_Martin_Akinola.jpg/revision/latest?cb=20230212002211,Male,28,"December 14, 1995",14-12-1995,Sagittarius,Senior Software Engineer,"Dublin, Ireland",Day 28,Day 40,Dumped,,
Bayley,Mummery,https://static.wikia.nocookie.net/loveisland/images/4/4a/S9_Bayley_Mummery.jpg/revision/latest?cb=20230212002200,Male,26,"July 3, 1997",03-07-1997,Cancer,Operations Manager,"Surrey, England",Day 28,Day 32,Dumped,,
Cynthia,Otseh-Taiwo,https://static.wikia.nocookie.net/loveisland/images/d/d2/S9_Cynthia_Otseh-Taiwo.jpg/revision/latest?cb=20230212002202,Female,26,"August 24, 1997",24-08-1997,Virgo,Dental Receptionist and Baker,"North London, England",Day 29,Day 32,Dumped,,
Frankie,Davey,https://static.wikia.nocookie.net/loveisland/images/3/3c/S9_Frankie_Davey.jpg/revision/latest?cb=20230212002204,Male,23,"December 24, 2000",24-12-2000,Capricorn,Pro Boxer,"Ipswich, England",Day 28,Day 32,Dumped,,
Kain,Reed,https://static.wikia.nocookie.net/loveisland/images/e/e5/S9_Kain_Reed.jpg/revision/latest?cb=20230212002205,Male,22,"November 28, 2001",28-11-2001,Sagittarius,Energy Consultant,"Gateshead, England",Day 28,Day 32,Dumped,,
Layla,Al-Momani,https://static.wikia.nocookie.net/loveisland/images/5/58/S9_Layla_Al-Momani.jpg/revision/latest?cb=20230212002206,Female,29,"November 9, 1994",09-11-1994,Scorpio,Brand Managing Director,"Kingston, England",Day 29,Day 32,Dumped,,
Lydia,Karakyriakou,https://static.wikia.nocookie.net/loveisland/images/5/52/S9_Lydia_Karakyriakou.jpg/revision/latest?cb=20230212002455,Female,23,"July 25, 2000",25-07-2000,Leo,Retail Customer Assistant,"Glasgow, Scotland",Day 29,Day 32,Dumped,,
Lynda,Flix,https://static.wikia.nocookie.net/loveisland/images/2/24/S9_Lynda_Flix.jpg/revision/latest?cb=20230212002209,Female,23,"June 20, 2000",20-06-2000,Gemini,Healthcare Assistant and Singer,"Salford, England",Day 29,Day 32,Dumped,,
Ryan,Weekley,https://static.wikia.nocookie.net/loveisland/images/a/a9/S9_Ryan_Weekley.jpg/revision/latest?cb=20230212002214,Male,23,"November 8, 2000",08-11-2000,Scorpio,Steel Erector,"Nottingham, England",Day 28,Day 32,Dumped,,
Sammy,James,https://static.wikia.nocookie.net/loveisland/images/1/1d/S9_Sammy_James.jpg/revision/latest?cb=20230212002215,Female,28,April 1995,01-04-1995,Aries,Beauty Buyer,"Leicester, England",Day 29,Day 32,Dumped,,
Ellie,Spence,https://static.wikia.nocookie.net/loveisland/images/9/90/S9_Ellie_Spence.jpg/revision/latest?cb=20230112194500,Female,26,"November 28, 1997",28-11-1997,Sagittarius,Business Development Executive,"Norwich, England",Day 10,Day 26,Dumped,,
Jordan,Odofin,https://static.wikia.nocookie.net/loveisland/images/d/d8/S9_Jordan_Odofin.jpg/revision/latest?cb=20230212000458,Male,29,"May 14, 1994",14-05-1994,Taurus,Senior HR Advisor,"London, England",Day 17,Day 26,Dumped,,
Tanyel,Revan,https://static.wikia.nocookie.net/loveisland/images/5/54/S9_Tanyel_Revan.jpg/revision/latest?cb=20230109224446,Female,27,"May 16, 1996",16-05-1996,Taurus,Hair Stylist,"North London, England",Day 1,Day 24,Dumped,,
Aaron,Waters,https://static.wikia.nocookie.net/loveisland/images/4/46/S9_Aaron_Waters.jpg/revision/latest?cb=20230122164553,Male,26,"September 12, 1997",12-09-1997,Virgo,Model,"Perth, Western Australia",Day 1,Day 45,Runner-Up,,
Spencer,Wilks,https://static.wikia.nocookie.net/loveisland/images/8/86/S9_Spencer_Wilks.jpg/revision/latest?cb=20230130150342,Male,24,,,Capricorn,ECommerce Business Owner,"Bournemouth, England",Day 10,Day 19,Dumped,,
Zara,Lackenby-Brown,https://static.wikia.nocookie.net/loveisland/images/a/a7/S9_Zara_Lackenby-Brown.jpg/revision/latest?cb=20230118175558,Female,26,"August 12, 1997",12-08-1997,Leo,Model,"London, England",Day 3,Day 16,Dumped,,
Anna-May,Robey,https://static.wikia.nocookie.net/loveisland/images/1/10/S9_Anna-May_Robey.jpg/revision/latest?cb=20230109224428,Female,21,"May 12, 2002",12-05-2002,Taurus,Payroll administrator,"Swansea, Wales",Day 1,Day 9,Dumped,,
Haris,Namani,https://static.wikia.nocookie.net/loveisland/images/2/20/S9_Haris_Namani.jpg/revision/latest?cb=20230109224430,Male,22,"December 16, 2001",16-12-2001,Sagittarius,TV Salesman,"Doncaster, England",Day 1,Day 9,Dumped,,
David,Salako,https://static.wikia.nocookie.net/loveisland/images/2/2d/S9_David_Salako.jpg/revision/latest?cb=20230118175551,Male,26,"February 13, 1998",13-02-1998,Aquarius,Money Adviser,"Essex, England",Day 3,Day 5,Dumped,,
Jess,Harding,https://static.wikia.nocookie.net/loveisland/images/1/1c/S10_Jess_Harding.jpg/revision/latest?cb=20230612134030,Female,23,"September 12, 2000",12-09-2000,Virgo,Aesthetics Practitioner,"London, England",Day 1,Day 58,Winner,,
Sammy,Root,https://static.wikia.nocookie.net/loveisland/images/4/40/S10_Sammy_Root.jpg/revision/latest?cb=20230612090524,Male,22,,,Capricorn,Project Manager,"Kent, England",Day 4,Day 58,Winner,,
Lochan,Nowacki,https://static.wikia.nocookie.net/loveisland/images/e/ec/S10_Lochan_Nowacki.jpg/revision/latest?cb=20230705181912,Male,25,,,Capricorn,Account Manager,"Windsor, England",Day 26,Day 58,Runner-Up,,
Whitney,Adebayo,https://static.wikia.nocookie.net/loveisland/images/1/14/S10_Whitney_Adebayo.jpg/revision/latest?cb=20230612134017,Female,26,"November 20, 1997",20-11-1997,Scorpio,Entrepreneur,"London, England",Day 3,Day 58,Runner-Up,,
Ella,Thomas,https://static.wikia.nocookie.net/loveisland/images/6/6b/S10_Ella_Thomas.jpg/revision/latest?cb=20230529135033,Female,24,"April 23, 2000",23-04-2000,Taurus,Model,"Glasgow, Scotland",Day 1,Day 58,3rd Place,,
Tyrique,Hyde,https://static.wikia.nocookie.net/loveisland/images/7/78/S10_Tyrique_Hyde.jpg/revision/latest?cb=20230612133928,Male,25,"April 8, 1999",08-04-1999,Aries,Football Player,"Essex, England",Day 1,Day 58,3rd Place,,
Molly,Marsh,https://static.wikia.nocookie.net/loveisland/images/a/a5/S10_Molly_Marsh.jpg/revision/latest?cb=20230529135034,Female,22,"August 26, 2001",26-08-2001,Virgo,Musical theatre performerSocial Media creator,"Doncaster, England",Day 1Day 27 (re-entered),Day 19Day 58,4th Place,,
Zachariah,Noble,https://static.wikia.nocookie.net/loveisland/images/1/10/S10_Zachariah_Noble.jpg/revision/latest?cb=20230606102349,Male,26,"June 13, 1997",13-06-1997,Gemini,Personal TrainerBasketball Player,"London, England",Day 1,Day 58,4th Place,,
Ella,Barnes,https://static.wikia.nocookie.net/loveisland/images/c/ca/S10_Ella_Barnes.jpg/revision/latest?cb=20230714194152,Female,24,"September 20, 1999",20-09-1999,Virgo,Championship DancerModel,"Kent, England",Day 39,Day 56,Dumped,,
Mitchel,Taylor,https://static.wikia.nocookie.net/loveisland/images/b/bb/All_Stars_Mitchel_Taylor.jpg/revision/latest?cb=20240118211848,Male,27,"June 10, 1996",10-06-1996,Gemini,Gas engineer,"Sheffield, England",Day 1,Day 56,Dumped,,
Abi,Moores,https://static.wikia.nocookie.net/loveisland/images/3/3b/S10_Abi_Moores.jpg/revision/latest?cb=20230705181858,Female,26,"April 2, 1998",02-04-1998,Aries,Flight Attendant,"Hampshire, England",Day 27,Day 52,Dumped,,
Scott,van-der-Sluis,https://static.wikia.nocookie.net/loveisland/images/e/ed/LIG_Scott_van-der-Sluis.jpg/revision/latest?cb=20240104001812,Male,23,"January 9, 2001",09-01-2001,Capricorn,Football Player,"Connah's Quay, Wales",Day 11,Day 52,Dumped,,
Amber,Wise,https://static.wikia.nocookie.net/loveisland/images/4/40/S10_Amber_Wise.jpg/revision/latest?cb=20230705181900,Female,20,"January 28, 2004",28-01-2004,Aquarius,Graphic Design Student,"Kensington, England",Day 27,Day 44,Dumped,,
Josh,Brocklebank,https://static.wikia.nocookie.net/loveisland/images/0/01/S10_Josh_Brocklebank.jpg/revision/latest?cb=20230714194154,Male,27,"November 28, 1996",28-11-1996,Sagittarius,Financial Advisor,"Essex, England",Day 39,Day 44,Dumped,,
Kady,McDermott,https://static.wikia.nocookie.net/loveisland/images/0/0f/S10_Kady_McDermott.jpg/revision/latest?cb=20230626083806,Female,28,"September 4, 1995",04-09-1995,Virgo,Makeup Artist,"Stevenage, England",Day 3,Day 45,3rd Place,,
Kady,McDermott,https://static.wikia.nocookie.net/loveisland/images/0/0f/S10_Kady_McDermott.jpg/revision/latest?cb=20230626083806,Female,28,"September 4, 1995",04-09-1995,Virgo,Makeup Artist,"Stevenage, England",Day 3,Day 45,3rd Place,,
Ouzy,See,https://static.wikia.nocookie.net/loveisland/images/1/1b/S10_Ouzy_See.jpg/revision/latest?cb=20230705181915,Male,29,"August 25, 1994",25-08-1994,Virgo,ModelFootball PlayerTradesman,"Edinburgh, Scotland",Day 26,Day 44,Dumped,,
Catherine,Agbaje,https://static.wikia.nocookie.net/loveisland/images/7/70/S10_Catherine_Agbaje.jpg/revision/latest?cb=20230529135031,Female,23,"June 23, 2000",23-06-2000,Cancer,Commercial real estate agent,"Dublin, Ireland",Day 1,Day 38,Dumped,,
Elom,Ahlijah-Wilson,https://static.wikia.nocookie.net/loveisland/images/b/bd/S10_Elom_Ahlijah-Wilson.jpg/revision/latest?cb=20230705181906,Male,23,"March 14, 2001",14-03-2001,Pisces,MasseuseFitness Trainer,"London, England",Day 26,Day 38,Dumped,,
Leah,Taylor,https://static.wikia.nocookie.net/loveisland/images/1/1f/S10_Leah_Taylor.jpg/revision/latest?cb=20230612134004,Female,28,"January 30, 1996",30-01-1996,Aquarius,Business Owner,"Manchester, England",Day 8,Day 38,Dumped,,
Montel,McKenzie,https://static.wikia.nocookie.net/loveisland/images/e/e2/S10_Montel_McKenzie.jpg/revision/latest?cb=20230620222510,Male,26,"December 31, 1997",31-12-1997,Capricorn,Account ManagerFootball Player,"London, England",Day 16,Day 38,Dumped,,
